[2026-01-16 23:24:03] PLACA=PCA25B | MODELO_EXT='SUZUKI GS 125 2009' | RAZON=Modelo (año) no detectado
[2026-01-16 23:24:05] PLACA=BSA36D | MODELO_EXT='HONDA2015' | RAZON=Marca no reconocida
[2026-01-16 23:24:05] PLACA=IDE71D | MODELO_EXT='BAJAJ2014' | RAZON=Modelo (año) no detectado
[2026-01-16 23:24:10] PLACA=FLO74E | MODELO_EXT='HONDA DIO 2017' | RAZON=Marca no reconocida
[2026-01-16 23:24:11] PLACA=NJJ64E | MODELO_EXT='AKTNKD218' | RAZON=Modelo (año) no detectado
[2026-01-16 23:24:15] PLACA=UJM88G | MODELO_EXT='BAJAJ BOXER S' | RAZON=Modelo (año) no detectado
[2026-01-16 23:24:20] PLACA=YLQ61F | MODELO_EXT='TVS NEO NX110 2023' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=DLF31H | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=ZYU46G | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=DXY95H | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=DLF29H | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=UJM91G | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=JRM92H | MODELO_EXT='Por definir' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=JRT06H | MODELO_EXT='2026' | RAZON=Marca no reconocida
[2026-01-16 23:24:25] PLACA=JRT07H | MODELO_EXT='Ak125Nkd Eiii' | RAZON=Modelo (año) no detectado
[2026-01-16 23:24:37] PLACA=UJM45G | MODELO_EXT='Boxer S 2024' | RAZON=Marca no reconocida
[2026-01-16 23:24:54] PLACA=ORZ19H | MODELO_EXT='Ak125 Nkd' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:01] PLACA=OSN30H | MODELO_EXT='Ak125 Njd 2026' | RAZON=Marca no reconocida
[2026-01-16 23:25:17] PLACA=ESV22G | MODELO_EXT='Tvs Neo Nx110 2023' | RAZON=Marca no reconocida
[2026-01-16 23:25:28] PLACA=RBH73H | MODELO_EXT='Ak125 Nkd' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:32] PLACA=RKA82H | MODELO_EXT='Ak125 Nkd 2926' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:32] PLACA=NTA91H | MODELO_EXT='Br 150 Sbr 2026' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=NSO78H | MODELO_EXT='Br 150 Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RIX84H | MODELO_EXT='Br 150 Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=NSV82H | MODELO_EXT='Br 150 Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKO73H | MODELO_EXT='Br 150Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKO75H | MODELO_EXT='Br 150Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKO72H | MODELO_EXT='Br 150Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKP06H | MODELO_EXT='Br 150 Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKO71H | MODELO_EXT='Br 150Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:32] PLACA=RKO74H | MODELO_EXT='Br 150Cc Sbr' | RAZON=Marca no reconocida
[2026-01-16 23:25:33] PLACA=RKW43H | MODELO_EXT='Sbr 150' | RAZON=Marca no reconocida
[2026-01-16 23:25:33] PLACA=RKW46H | MODELO_EXT='Sbr 150' | RAZON=Marca no reconocida
[2026-01-16 23:25:36] PLACA=TID75H | MODELO_EXT='Ak125 Nkd 125' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:37] PLACA=TIT70H | MODELO_EXT='Nkd 125' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:41] PLACA=DKN94H | MODELO_EXT='Gn 125 Suzuki' | RAZON=Modelo (año) no detectado
[2026-01-16 23:25:46] PLACA=VRI79H | MODELO_EXT='2025' | RAZON=Marca no reconocida
[2026-01-16 23:26:00] PLACA=RJH68H | MODELO_EXT='Nkd' | RAZON=Modelo (año) no detectado
[2026-01-16 23:26:14] PLACA=ZHI86H | MODELO_EXT='2025' | RAZON=Marca no reconocida
[2026-01-16 23:26:14] PLACA=ZHI85H | MODELO_EXT='2025' | RAZON=Marca no reconocida
[2026-01-16 23:26:14] PLACA=ZHI82H | MODELO_EXT='2025' | RAZON=Marca no reconocida
[2026-01-16 23:26:16] PLACA=ZPF93H | MODELO_EXT='Akt Nkd 125' | RAZON=Modelo (año) no detectado
[2026-01-16 23:26:16] PLACA=ZOX89H | MODELO_EXT='Akt Nkd 125' | RAZON=Modelo (año) no detectado
